condition,conv_id,turn_index,n_turns,cosine_semanticL
C4-P1,4646,11,15,0.8401751104813137
C2-P1,4360,0,25,0.5611838416322837
C2-P1,4360,1,25,0.47385317684519035
C2-P1,4360,2,25,0.5688941612982962
C2-P1,4360,3,25,0.56513462849757
C2-P1,4360,4,25,0.3847829493535273
C2-P1,4360,5,25,0.323810048695893
C2-P1,4360,6,25,0.6214455029121262
C2-P1,4360,7,25,0.6529208492272912
C2-P1,4360,8,25,0.6818423009669803
C2-P1,4360,9,25,0.5805810686332572
C2-P1,4360,10,25,0.5731125970253166
C2-P1,4360,11,25,0.5281568738176162
C2-P1,4360,12,25,0.7671089546364752
C2-P1,4360,13,25,0.7086872819180233
C2-P1,4360,14,25,0.6156138157306578
C2-P1,4360,15,25,0.5532522753020898
C2-P1,4360,16,25,0.7743914401009628
C2-P1,4360,17,25,0.6505645393997671
C2-P1,4360,18,25,0.6525243778359432
C2-P1,4360,19,25,0.609919959363448
C2-P1,4360,20,25,0.6744293611479947
C2-P1,4360,21,25,0.7774628774420989
C4-P2,4611,0,32,0.6670848559553563
C4-P2,4611,1,32,0.6000564531615855
C4-P2,4611,2,32,0.6575458499801524
C4-P2,4611,3,32,0.6337958936443603
C4-P2,4611,4,32,0.6942863821563687
C4-P2,4611,5,32,0.6177716181229231
C4-P2,4611,6,32,0.6082768213240163
C4-P2,4611,7,32,0.5962489553999044
C4-P2,4611,8,32,0.520227171697777
C4-P2,4611,9,32,0.7374844685592663
C4-P2,4611,10,32,0.6610499456110508
C4-P2,4611,11,32,0.6371307797103668
C4-P2,4611,12,32,0.6533450636679445
C4-P2,4611,13,32,0.7233950833588376
C4-P2,4611,14,32,0.4617321672147081
C4-P2,4611,15,32,0.42384416832803784
C4-P2,4611,16,32,0.7172630613143655
C4-P2,4611,17,32,0.7820453859713175
C4-P2,4611,18,32,0.7341434362259195
C4-P2,4611,19,32,0.7689407639601838
C4-P2,4611,20,32,0.7229028544020385
C4-P2,4611,21,32,0.7323804045924656
C4-P2,4611,22,32,0.6484689349725598
C4-P2,4611,23,32,0.6668719518237461
C4-P2,4611,24,32,0.5905802110740724
C4-P2,4611,25,32,0.7134543649977594
C4-P2,4611,26,32,0.7173736479728672
C4-P2,4611,27,32,0.758057362181878
C4-P2,4611,28,32,0.6797981107025858
C4-P2,4168,0,24,0.36185094835983667
C4-P2,4168,1,24,0.5775397208792702
C4-P2,4168,2,24,0.6902167529681145
C4-P2,4168,3,24,0.700620686699687
C4-P2,4168,4,24,0.5858747306190838
C4-P2,4168,5,24,0.5407333984428215
C4-P2,4168,6,24,0.5506662843849731
C4-P2,4168,7,24,0.47498509530370403
C4-P2,4168,8,24,0.5347087552545521
C4-P2,4168,9,24,0.5061107112685581
C4-P2,4168,10,24,0.42391019626971804
C4-P2,4168,11,24,0.6937449991089978
